职业名称,P10,P25,P50,P75,P90,soc_minor,soc_name_cn,exposure,wage_rank,exp_rank,wage_q,wage_pct,exp_pct,anomaly_score,soc_major,大类
林业生产人员,2.52,3.51,4.46,5.88,8.13,45-2000,农业工人,0.476863048145576,59.0,23.5,Q1低薪(≤5.2万),0.04918032786885246,0.6311475409836066,-0.5819672131147542,45,农业
畜牧业生产人员,2.73,3.65,4.74,6.13,8.3,45-2000,农业工人,0.476863048145576,56.0,23.5,Q1低薪(≤5.2万),0.09836065573770492,0.6311475409836066,-0.5327868852459017,45,农业
农、林、牧、渔业生产辅助人员,2.63,3.47,4.5,5.83,7.95,45-2000,农业工人,0.476863048145576,58.0,23.5,Q1低薪(≤5.2万),0.06557377049180328,0.6311475409836066,-0.5655737704918034,45,农业
农副产品加工人员,3.14,4.0,5.04,6.43,8.31,51-9000,其他生产职业,0.4509035808740358,51.0,36.0,Q1低薪(≤5.2万),0.18032786885245902,0.4262295081967213,-0.24590163934426226,51,生产制造
食品、饮料生产加工人员,3.24,4.15,5.42,7.39,9.78,51-9000,其他生产职业,0.4509035808740358,41.0,36.0,Q2中低(5.2-6.1万),0.3442622950819672,0.4262295081967213,-0.08196721311475408,51,生产制造
纺织、针织、印染人员,3.56,4.52,5.48,6.94,8.82,51-6000,纺织、服装和家居用品工人,0.4722456326179731,40.0,27.5,Q2中低(5.2-6.1万),0.36065573770491804,0.5655737704918032,-0.2049180327868852,51,生产制造
纺织品、服装和皮革、毛皮制品加工制作人员,3.36,4.2,5.22,6.51,8.02,51-6000,纺织、服装和家居用品工人,0.4722456326179731,47.0,27.5,Q1低薪(≤5.2万),0.2459016393442623,0.5655737704918032,-0.31967213114754095,51,生产制造
木材加工、家具与木制品制作人员,3.07,3.86,4.97,6.5,8.12,51-9000,其他生产职业,0.4509035808740358,52.0,36.0,Q1低薪(≤5.2万),0.16393442622950818,0.4262295081967213,-0.2622950819672131,51,生产制造
纸及纸制品生产加工人员,3.36,4.36,5.61,7.38,10.06,51-9000,其他生产职业,0.4509035808740358,39.0,36.0,Q2中低(5.2-6.1万),0.3770491803278688,0.4262295081967213,-0.04918032786885246,51,生产制造
印刷和记录媒介复制人员,3.81,4.88,6.24,8.6,11.16,51-9000,其他生产职业,0.4509035808740358,28.0,36.0,Q3中高(6.1-7.1万),0.5573770491803278,0.4262295081967213,0.13114754098360654,51,生产制造
文教、工美、体育和娱乐用品制造人员,3.53,4.28,5.27,6.96,8.66,51-9000,其他生产职业,0.4509035808740358,46.0,36.0,Q1低薪(≤5.2万),0.26229508196721313,0.4262295081967213,-0.16393442622950816,51,生产制造
石油加工和炼焦、煤化工生产人员,4.0,4.95,7.09,10.03,14.44,51-9000,其他生产职业,0.4509035808740358,14.0,36.0,Q4高薪(>7.1万),0.7868852459016393,0.4262295081967213,0.36065573770491804,51,生产制造
化学原料和化学制品制造人员,3.73,4.79,6.54,8.79,11.54,51-9000,其他生产职业,0.4509035808740358,23.0,36.0,Q3中高(6.1-7.1万),0.639344262295082,0.4262295081967213,0.21311475409836073,51,生产制造
医药制造人员,3.41,4.29,5.75,7.85,10.29,51-9000,其他生产职业,0.4509035808740358,38.0,36.0,Q2中低(5.2-6.1万),0.39344262295081966,0.4262295081967213,-0.03278688524590162,51,生产制造
化学纤维制造人员,3.72,5.49,7.36,8.84,10.35,51-9000,其他生产职业,0.4509035808740358,12.0,36.0,Q4高薪(>7.1万),0.819672131147541,0.4262295081967213,0.3934426229508197,51,生产制造
橡胶和塑料制品制造人员,3.8,4.66,5.94,7.65,9.47,51-9000,其他生产职业,0.4509035808740358,36.0,36.0,Q2中低(5.2-6.1万),0.4262295081967213,0.4262295081967213,0.0,51,生产制造
非金属矿物制品制造人员,3.1,4.16,5.3,7.02,9.06,51-9000,其他生产职业,0.4509035808740358,45.0,36.0,Q2中低(5.2-6.1万),0.2786885245901639,0.4262295081967213,-0.14754098360655737,51,生产制造
采矿人员,3.66,5.13,7.59,11.37,16.01,51-9000,其他生产职业,0.4509035808740358,7.0,36.0,Q4高薪(>7.1万),0.9016393442622951,0.4262295081967213,0.4754098360655738,51,生产制造
金属冶炼和压延加工人员,3.89,4.81,6.42,8.5,11.13,51-4000,金属工人和塑料工人,0.2926658747026394,25.0,56.0,Q3中高(6.1-7.1万),0.6065573770491803,0.09836065573770492,0.5081967213114754,51,生产制造
机械制造基础加工人员,3.92,5.04,6.62,8.73,11.07,51-4000,金属工人和塑料工人,0.2926658747026394,20.0,56.0,Q3中高(6.1-7.1万),0.6885245901639344,0.09836065573770492,0.5901639344262295,51,生产制造
金属制品制造人员,3.97,4.97,6.4,8.21,10.1,51-4000,金属工人和塑料工人,0.2926658747026394,26.5,56.0,Q3中高(6.1-7.1万),0.5819672131147541,0.09836065573770492,0.48360655737704916,51,生产制造
通用设备制造人员,4.07,5.18,6.6,8.75,11.54,51-2000,装配工和制造工,0.323819325683339,21.0,50.0,Q3中高(6.1-7.1万),0.6721311475409836,0.19672131147540983,0.47540983606557374,51,生产制造
专用设备制造人员,3.6,4.44,6.15,8.44,11.64,51-2000,装配工和制造工,0.323819325683339,31.0,50.0,Q2中低(5.2-6.1万),0.5081967213114754,0.19672131147540983,0.3114754098360656,51,生产制造
汽车制造人员,4.02,5.11,6.87,9.08,11.62,51-2000,装配工和制造工,0.323819325683339,16.0,50.0,Q3中高(6.1-7.1万),0.7540983606557377,0.19672131147540983,0.5573770491803278,51,生产制造
铁路、船舶、航空设备制造人员,3.93,4.98,6.97,10.59,14.79,51-2000,装配工和制造工,0.323819325683339,15.0,50.0,Q4高薪(>7.1万),0.7704918032786885,0.19672131147540983,0.5737704918032787,51,生产制造
电气机械和器材制造人员,4.08,4.93,6.4,8.02,10.07,51-2000,装配工和制造工,0.323819325683339,26.5,50.0,Q3中高(6.1-7.1万),0.5819672131147541,0.19672131147540983,0.38524590163934425,51,生产制造
计算机、通信和其他电子设备制造人员,4.13,5.24,6.65,8.28,10.21,51-2000,装配工和制造工,0.323819325683339,19.0,50.0,Q3中高(6.1-7.1万),0.7049180327868853,0.19672131147540983,0.5081967213114754,51,生产制造
仪器仪表制造人员,3.43,4.08,5.32,6.97,9.5,51-2000,装配工和制造工,0.323819325683339,44.0,50.0,Q2中低(5.2-6.1万),0.29508196721311475,0.19672131147540983,0.09836065573770492,51,生产制造
电力、热力、气体、水生产和输配人员,3.9,5.06,7.38,11.55,17.51,17-2000,工程师,0.6295447314934344,11.0,13.5,Q4高薪(>7.1万),0.8360655737704918,0.7950819672131147,0.040983606557377095,17,工程
建筑施工人员,3.59,4.64,5.92,7.83,10.2,47-2000,建筑行业工人,0.2199630869707631,37.0,61.0,Q2中低(5.2-6.1万),0.4098360655737705,0.01639344262295082,0.39344262295081966,47,建筑
运输设备和通用工程机械操作人员及有关人员,4.14,5.4,7.24,9.97,14.82,53-3000,机动车操作员,0.2749813883208916,13.0,59.5,Q4高薪(>7.1万),0.8032786885245902,0.040983606557377046,0.7622950819672131,53,交通运输
生产辅助人员,3.46,4.47,5.96,8.06,10.93,51-9000,其他生产职业,0.4509035808740358,34.5,36.0,Q2中低(5.2-6.1万),0.45081967213114754,0.4262295081967213,0.024590163934426257,51,生产制造
其他生产制造及有关人员,3.6,4.62,6.0,7.92,10.46,51-9000,其他生产职业,0.4509035808740358,33.0,36.0,Q2中低(5.2-6.1万),0.47540983606557374,0.4262295081967213,0.04918032786885246,51,生产制造
